World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
218Top 1.1%,University of Lisbon,Portugal,1,456,1354,243,185,78.5
219Top 1.1%,Johannes Gutenberg University Mainz,Germany,13,-,-,163,224,78.5
220Top 1.1%,University of Ottawa,Canada,10,-,495,-,167,78.5
221Top 1.1%,Georgetown University,USA,73,387,39,-,363,78.4
222Top 1.1%,University of Münster,Germany,14,385,816,200,214,78.4
223Top 1.1%,Claude Bernard University Lyon 1,France,11,-,859,-,165,78.4
224Top 1.1%,RWTH Aachen University,Germany,15,524,181,-,191,78.4
225Top 1.1%,Paul Sabatier University,France,12,-,-,-,164,78.4
226Top 1.1%,University of Kansas,USA,74,233,525,122,267,78.3
227Top 1.1%,University of Georgia,USA,75,444,302,168,248,78.3
228Top 1.1%,Waseda University,Japan,8,343,25,-,565,78.3
229Top 1.1%,Beijing Institute of Technology,China,32,-,783,-,174,78.3
230Top 1.1%,Technical University of Dresden,Germany,16,-,1407,-,176,78.3
231Top 1.1%,Dalian University of Technology,China,33,-,277,-,194,78.2
232Top 1.1%,"University of Tennessee, Knoxville",USA,76,455,651,224,222,78.2
233Top 1.1%,University of Electronic Science and Technology of China,China,34,-,631,-,182,78.2
234Top 1.1%,University of Würzburg,Germany,17,150,1192,241,229,78.2
235Top 1.1%,Hunan University,China,35,-,534,-,188,78.2
236Top 1.1%,Institut national du service public,France,13,-,3,-,-,78.1
237Top 1.2%,King Abdullah University of Science and Technology,Saudi Arabia,1,-,-,105,287,78.1
238Top 1.2%,Université catholique de Louvain,Belgium,3,-,607,138,276,78.1
239Top 1.2%,University of Bordeaux,France,14,-,1045,-,184,78.1
240Top 1.2%,Chongqing University,China,36,-,345,-,199,78.1
241Top 1.2%,University of Erlangen–Nuremberg,Germany,18,442,824,-,189,78.0
242Top 1.2%,University of Turin,Italy,5,247,1158,-,195,78.0
243Top 1.2%,University of Naples Federico II,Italy,6,-,730,-,190,78.0
244Top 1.2%,Kiel University,Germany,19,287,1185,148,275,78.0
